"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-28","0.05",,"51","56","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-29","0.00",,"50","62","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-30","0.25",,"48","55","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-31","0.00",,"44","50","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-01","0.00",,"47","58","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-02","0.00",,"52","65","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-03","0.00",,"52","55","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-04","0.05",,"47","53","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-05","0.00",,"51","61","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-06","0.00",,"50","60","45"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-07","0.00",,"51","59","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-08","0.00",,"49","55","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-09","0.00",,"51","54","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-10","0.00",,"52","57","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-11","0.00",,"50","60","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-12","0.00",,"55","61","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-13","0.12",,"51","58","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-14","0.47",,"41","43","39"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-15","0.16",,"41","42","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-16","0.22",,"45","48","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-17","0.02",,"47","49","45"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-18","0.01",,"44","47","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-19","0.02",,"44","47","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-20","0.00",,"41","48","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-21","0.00",,"43","49","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-22","0.00",,"52","61","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-23","0.00",,"52","62","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-24","0.00",,"53","63","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-25","0.00",,"49","58","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-26","0.00",,"44","49","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-27","0.41",,"38","41","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-28","0.01",,"35","44","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-29","0.00",,"41","52","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-11-30","0.12",,"44","49","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-01","0.48",,"38","43","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-02","0.00",,"35","39","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-03","0.45","3.9","32","34","32"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-04","0.13","2.8","34","39","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-05","0.00","2.8","37","41","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-06","0.00",,"41","49","37"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-07","0.00",,"38","51","32"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-08","0.00",,"48","58","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-09","0.00","1.2","40","51","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-10","0.28","0.8","35","41","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-11","0.00",,"47","53","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-12","0.00",,"57","67","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-13","0.00",,"43","59","37"
